City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
596,Sur,OM,22.5667,59.5289,86.4,44,0,7.63,clear sky
597,Mogocha,RU,53.7333,119.7667,26.6,84,100,2.13,overcast clouds
598,Goderich,CA,43.7501,-81.7165,41.0,81,12,5.75,few clouds
599,Copiapo,CL,-27.3667,-70.3333,68.0,56,40,4.61,scattered clouds
600,Winnemucca,US,40.973,-117.7357,42.8,42,1,3.44,clear sky
601,Ballina,AU,-28.8667,153.5667,68.0,94,75,6.91,broken clouds
602,Erzin,TR,36.9559,36.2,62.01,76,14,8.99,few clouds
603,Lovozero,RU,68.005,35.0117,30.78,93,100,4.92,overcast clouds
604,Saint-Paul,RE,-21.0096,55.2707,82.4,78,0,11.5,clear sky
605,Wasilla,US,61.5814,-149.4394,37.4,93,90,9.22,light rain
606,Ostrov,RU,57.3439,28.3537,41.0,70,75,13.42,broken clouds
607,Santiago Del Estero,AR,-27.7951,-64.2615,79.41,47,100,7.9,overcast clouds
608,Cochabamba,BO,-17.3895,-66.1568,68.0,60,75,10.36,broken clouds
609,Nexo,DK,55.0607,15.1306,41.0,93,90,23.02,overcast clouds
610,Saucillo,MX,28.0167,-105.2833,69.71,41,0,3.36,clear sky
611,Lexington,US,37.9887,-84.4777,62.01,41,1,10.36,clear sky
612,Acapulco,MX,16.8634,-99.8901,82.4,65,1,4.72,haze
613,Broome,US,42.2506,-75.833,53.01,46,1,10.36,clear sky
614,Pecos,US,31.4229,-103.4932,60.8,72,90,12.66,overcast clouds
615,Tabou,CI,4.423,-7.3528,83.34,72,63,6.64,light rain
616,Ler,SS,8.3018,30.1418,97.09,14,76,5.06,broken clouds
617,Manggar,ID,-2.8833,108.2667,80.83,79,90,4.61,overcast clouds
618,Chippewa Falls,US,44.9369,-91.3929,64.0,25,1,11.5,clear sky
619,Mana,GF,5.6592,-53.7767,81.59,79,97,10.76,overcast clouds
620,Pingliang,CN,35.5392,106.6861,41.0,96,100,5.03,overcast clouds
621,Porosozero,RU,62.7191,32.727,34.41,97,100,10.74,overcast clouds
622,Strathmore,CA,51.0501,-113.3852,44.01,56,96,12.66,overcast clouds
623,Zemetchino,RU,53.4973,42.6163,37.56,77,45,5.5,scattered clouds
624,Arrecife,ES,28.963,-13.5477,73.4,43,20,16.11,few clouds
625,Smirnykh,RU,49.75,142.8333,21.33,88,12,3.78,few clouds
626,Uglich,RU,57.5275,38.3317,32.9,85,100,3.38,overcast clouds
627,Ulladulla,AU,-35.35,150.4667,63.0,100,14,5.75,few clouds
628,Kiunga,PG,-6.1219,141.2906,73.51,87,92,0.96,overcast clouds
629,Belle Fourche,US,44.6714,-103.8522,71.6,13,1,11.5,clear sky
630,Basse,DE,52.5518,9.5069,45.0,65,100,11.5,overcast clouds
631,Lahad Datu,MY,5.0268,118.327,76.01,94,99,2.55,overcast clouds
632,Minot,US,48.2325,-101.2963,48.0,36,1,10.36,clear sky
633,Payakumbuh,ID,-0.2202,100.6308,69.55,93,99,3.65,overcast clouds
634,Maun,BW,-19.9833,23.4167,89.6,35,40,6.91,scattered clouds
635,Ojinaga,MX,29.5667,-104.4167,64.4,63,90,8.05,overcast clouds
636,Doka,SD,13.5167,35.7667,95.65,13,64,16.02,broken clouds
637,Cuiluan,CN,47.72,128.648,39.87,36,94,9.04,overcast clouds
638,Saint-Georges,GD,12.0564,-61.7485,84.2,65,20,18.41,few clouds
639,Yamada,JP,39.4667,141.95,44.28,94,100,14.03,light rain
640,Inirida,CO,3.8653,-67.9239,81.77,85,100,2.39,overcast clouds
641,Zhezkazgan,KZ,47.8043,67.7144,37.38,95,100,7.63,overcast clouds
642,Muroto,JP,33.2833,134.15,63.46,88,87,10.45,overcast clouds
643,Estelle,US,29.8458,-90.1067,68.0,63,40,10.36,scattered clouds
644,Sept-Iles,CA,50.2001,-66.3821,37.99,47,75,10.36,broken clouds
645,Zeya,RU,53.75,127.2667,12.15,97,72,3.83,broken clouds
646,Takoradi,GH,4.8845,-1.7554,84.43,71,30,10.2,scattered clouds
647,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,89.33,52,81,3.42,broken clouds
648,Atar,MR,20.5169,-13.0499,98.6,20,93,9.22,overcast clouds
649,Nuuk,GL,64.1835,-51.7216,33.73,96,100,43.13,snow
650,Khasan,RU,42.4308,130.6434,39.34,58,0,5.08,clear sky
651,Sibenik,HR,43.7272,15.9058,57.2,26,0,11.5,clear sky
652,San Jose,US,37.3394,-121.895,55.0,62,75,5.75,broken clouds
653,Bereda,ES,43.2686,-7.5406,62.01,64,7,17.0,clear sky
654,Agde,FR,43.3108,3.4758,64.4,34,0,11.5,clear sky
655,Vao,NC,-22.6667,167.4833,76.1,61,85,21.68,overcast clouds
656,Quelimane,MZ,-17.8786,36.8883,84.2,65,20,9.22,few clouds
657,Gore,NZ,-46.1028,168.9436,57.0,69,45,3.0,scattered clouds
658,Aklavik,CA,68.2191,-135.0107,-16.6,76,40,4.61,scattered clouds
659,Soyo,AO,-6.1349,12.3689,87.8,70,20,8.05,few clouds
660,Luxor,EG,25.6989,32.6421,87.8,14,0,9.22,clear sky
661,La Joya,MX,18.6667,-99.4667,79.0,30,1,4.27,clear sky
662,High Level,CA,58.5169,-117.136,24.8,80,75,2.3,broken clouds
663,Sakaraha,MG,-22.9,44.5333,70.03,81,30,10.2,light rain
664,Buta,CD,2.7858,24.73,87.85,44,74,2.93,broken clouds
665,Killybegs,IE,54.6333,-8.45,48.99,81,75,18.41,broken clouds
666,Dungarpur,IN,23.8333,73.7167,89.15,12,0,7.47,clear sky
667,Asau,RO,46.4333,26.4,43.0,47,100,6.4,overcast clouds
668,Seydi,TM,39.4816,62.9137,55.53,39,26,15.3,scattered clouds
669,Nabire,ID,-3.3667,135.4833,75.25,94,97,3.38,overcast clouds
670,Mullingar,IE,53.5333,-7.35,55.0,68,34,5.99,scattered clouds
671,Kozachi Laheri,UA,46.7037,32.9776,44.6,81,75,2.24,broken clouds
672,Villamontes,BO,-21.25,-63.5,80.56,64,100,2.62,light rain
673,Scalea,IT,39.813,15.7956,59.0,53,38,5.99,scattered clouds
674,Diaz,PH,15.8463,120.8347,75.02,72,0,3.76,clear sky
675,Korem,ET,12.5058,39.5228,61.77,53,13,8.32,few clouds
676,Touros,BR,-5.1989,-35.4608,86.0,66,40,14.97,scattered clouds
677,Mnogovershinnyy,RU,53.9353,139.9242,3.63,83,6,3.6,clear sky
678,Mossendjo,CG,-2.9506,12.7261,82.0,69,87,3.89,overcast clouds
679,Benghazi,LY,32.1167,20.0667,77.43,30,4,18.41,clear sky
680,Goure,NE,13.9835,10.2704,93.99,6,0,7.0,clear sky
681,Bulgan,MN,48.8125,103.5347,38.07,31,4,1.72,clear sky
682,Butterworth,MY,5.3991,100.3638,86.0,74,20,6.91,few clouds
683,Avera,US,33.194,-82.5271,66.99,34,1,8.05,clear sky
684,Kapit,MY,2.0167,112.9333,74.59,96,92,1.28,light rain
685,Ilo,PE,-17.6394,-71.3375,73.26,72,99,9.78,overcast clouds
